timestamp,frame_index,motion_regions,yolo_detections,confirmed_tracks,new_confirmations,time_mog2_ms,time_yolo_ms,time_tracker_ms,fps,cpu_percent,ram_mb,yolo_ran
1774174286.622,0,5,0,0,0,7.788504008203745,315.8561730524525,0.018000020645558834,0.0,0.0,469.515625,True
1774174286.8300245,1,0,0,0,0,7.071741041727364,0.0,0.0258890213444829,0.0,9.6,475.8125,False
1774174287.0376852,2,0,0,0,0,7.068703998811543,0.0,0.020388979464769363,0.0,9.6,479.75,False
1774174287.2453237,3,0,0,0,0,7.015740033239126,0.0,0.020259059965610504,2.885038780805221,9.6,482.703125,False
1774174287.4529884,4,0,0,0,0,7.091704057529569,0.0,0.021110987290740013,2.885038780805221,9.6,485.328125,False
1774174287.660644,5,0,0,0,0,6.981980986893177,0.0,0.022666994482278824,2.885038780805221,4.8,487.953125,False
1774174287.8683248,6,0,0,0,0,7.0453520165756345,0.0,0.021167099475860596,2.885038780805221,9.6,490.578125,False
1774174288.0759747,7,0,0,0,0,6.998665980063379,0.0,0.021092011593282223,2.885038780805221,9.6,493.203125,False
1774174288.283652,8,0,0,0,0,7.033018046058714,0.0,0.021760002709925175,4.815599114012355,14.4,495.828125,False
1774174288.4912937,9,0,0,0,0,7.059833034873009,0.0,0.021351967006921768,4.815599114012355,9.6,498.453125,False
1774174288.698979,10,0,0,0,0,7.029130007140338,0.0,0.020908075384795666,4.815599114012355,4.8,499.765625,False
1774174288.9065785,11,0,0,0,0,7.046815007925034,0.0,0.021333107724785805,4.815599114012355,9.6,499.765625,False
1774174289.1142356,12,0,0,0,0,7.03981495462358,0.0,0.021129962988197803,4.815599114012355,9.6,499.765625,False
1774174289.3219893,13,0,0,0,0,7.045018021017313,0.0,0.02024101559072733,4.8155703637707985,9.6,499.765625,False
1774174289.5297554,14,0,0,0,0,7.077166927047074,0.0,0.020463019609451294,4.8155703637707985,9.6,499.765625,False
1774174289.7373292,15,0,0,0,0,6.87410996761173,0.0,0.021167099475860596,4.8155703637707985,9.6,499.765625,False
1774174289.9447615,16,0,0,0,0,6.743127945810556,0.0,0.018666964024305344,4.8155703637707985,4.8,499.765625,False
1774174290.1521206,17,0,0,0,0,6.684645893983543,0.0,0.017666025087237358,4.8155703637707985,9.6,499.765625,False
1774174290.3595285,18,0,0,0,0,6.693867966532707,0.0,0.017815036699175835,4.817475256235732,9.6,499.765625,False
1774174290.566998,19,0,0,0,0,6.77599897608161,0.0,0.017278012819588184,4.817475256235732,9.6,499.765625,False
1774174290.7744057,20,0,0,0,0,6.746034952811897,0.0,0.01742597669363022,4.817475256235732,9.6,499.765625,False
1774174290.9817877,21,0,0,0,0,6.715386989526451,0.0,0.01742597669363022,4.817475256235732,9.6,499.765625,False
1774174291.1891046,22,0,0,0,0,6.769906030967832,0.0,0.018092920072376728,4.817475256235732,4.8,499.765625,False
1774174291.3963964,23,0,0,0,0,6.728479987941682,0.0,0.017740996554493904,4.821954697604649,9.6,499.765625,False
1774174291.603861,24,0,0,0,0,6.759517011232674,0.0,0.018000020645558834,4.821954697604649,9.6,499.765625,False
1774174291.8112197,25,0,0,0,0,6.738553987815976,0.0,0.019869999960064888,4.821954697604649,9.6,499.765625,False
1774174292.0184934,26,0,0,0,0,6.731090950779617,0.0,0.017351936548948288,4.821954697604649,9.6,499.765625,False
1774174292.225832,27,0,0,0,0,6.737571908161044,0.0,0.017815036699175835,4.821954697604649,4.8,499.765625,False
1774174292.4331064,28,0,0,0,0,6.729387096129358,0.0,0.0180370407178998,4.822997106411476,9.6,499.765625,False
1774174292.6404333,29,0,0,0,0,6.7234981106594205,0.0,0.018443912267684937,4.822997106411476,9.6,499.765625,False
1774174292.8476977,30,0,0,0,0,6.735998089425266,0.0,0.018258928321301937,4.822997106411476,9.6,499.765625,False
1774174293.0550187,31,0,0,0,0,6.708164932206273,0.0,0.017295940779149532,4.822997106411476,9.6,499.765625,False
1774174293.2623687,32,0,0,0,0,6.743591045960784,0.0,0.01794390846043825,4.822997106411476,4.8,499.765625,False
1774174293.4696796,33,0,0,0,0,6.74268405418843,0.0,0.017240061424672604,4.823646067104313,14.5,499.765625,False
1774174293.679649,34,0,0,0,0,9.357456001453102,0.0,0.022277934476733208,4.823646067104313,4.8,499.765625,False
1774174293.8898237,35,0,0,0,0,9.27506701555103,0.0,0.021629035472869873,4.823646067104313,14.3,499.78125,False
1774174294.0998106,36,0,0,0,0,9.09210299141705,0.0,0.020870007574558258,4.823646067104313,9.5,499.78125,False
1774174294.3100696,37,0,0,0,0,9.189547970890999,0.0,0.022351974621415138,4.823646067104313,9.5,499.78125,False
1774174294.5202143,38,0,0,0,0,9.273882023990154,0.0,0.022073974832892418,4.7712882545631095,19.0,499.78125,False
1774174294.7304213,39,0,0,0,0,9.248308022506535,0.0,0.022703898139297962,4.7712882545631095,9.5,499.78125,False
1774174294.940582,40,0,0,0,0,9.280177997425199,0.0,0.02198200672864914,4.7712882545631095,9.5,499.78125,False
1774174295.1508272,41,0,0,0,0,9.225270012393594,0.0,0.020630075596272945,4.7712882545631095,9.5,499.78125,False
1774174295.361085,42,0,0,0,0,9.293677983805537,0.0,0.02198200672864914,4.7712882545631095,14.3,499.78125,False
1774174295.5713627,43,0,0,0,0,9.292048984207213,0.0,0.022110994905233383,4.757134901614745,14.3,499.78125,False
1774174295.7817063,44,0,0,0,0,9.316122042946517,0.0,0.022184918634593487,4.757134901614745,9.5,499.78125,False
1774174295.9918137,45,0,0,0,0,9.227567003108561,0.0,0.02166605554521084,4.757134901614745,14.3,499.78125,False
1774174296.2022176,46,0,0,0,0,9.337457013316453,0.0,0.02138910349458456,4.757134901614745,9.5,499.78125,False
1774174296.4126003,47,0,0,0,0,9.385011973790824,0.0,0.025481916964054108,4.757134901614745,9.5,499.78125,False
1774174296.622843,48,0,0,0,0,9.35678998939693,0.0,0.022388994693756104,4.755228898812344,14.3,499.78125,False
1774174296.8331506,49,0,0,0,0,9.278789046220481,0.0,0.022018910385668278,4.755228898812344,14.3,499.78125,False
1774174297.0434048,50,0,0,0,0,9.217325947247446,0.0,0.022518914192914963,4.755228898812344,9.5,499.78125,False
1774174297.2536242,51,0,0,0,0,9.274826967157423,0.0,0.022278050892055035,4.755228898812344,9.5,499.796875,False
1774174297.4637868,52,0,0,0,0,9.280567057430744,0.0,0.02322206273674965,4.755228898812344,9.5,499.796875,False
1774174297.6740298,53,0,0,0,0,9.264049003832042,0.0,0.02288899850100279,4.756018296983537,19.0,499.796875,False
1774174297.884298,54,0,0,0,0,9.286604006774724,0.0,0.021760002709925175,4.756018296983537,9.5,499.796875,False
1774174298.0944183,55,0,0,0,0,9.214492980390787,0.0,0.021554995328187943,4.756018296983537,9.5,499.796875,False
1774174298.3045833,56,0,0,0,0,9.249677998013794,0.0,0.02288899850100279,4.756018296983537,14.3,499.796875,False
1774174298.514911,57,0,0,0,0,9.298103977926075,0.0,0.021684914827346802,4.756018296983537,9.5,499.796875,False
1774174298.72507,58,0,0,0,0,9.256474091671407,0.0,0.022722058929502964,4.757178065940098,14.3,499.796875,False
1774174298.9353824,59,0,0,0,0,9.264585911296308,0.0,0.02183311153203249,4.757178065940098,9.5,499.796875,False
1774174299.1455598,60,0,0,0,0,9.280771017074585,0.0,0.02242601476609707,4.757178065940098,14.3,499.796875,False
1774174299.3558369,61,0,0,0,0,9.244399960152805,0.0,0.022278050892055035,4.757178065940098,9.5,499.796875,False
1774174299.5655959,62,0,0,0,0,8.813972002826631,0.0,0.022684922441840172,4.757178065940098,9.5,499.796875,False
1774174299.7758265,63,0,0,0,0,9.338418953120708,0.0,0.02509297337383032,4.758987355445174,14.3,499.796875,False
1774174299.9863067,64,0,0,0,0,9.276808006688952,0.0,0.02357491757720709,4.758987355445174,9.5,499.796875,False
1774174300.1966715,65,0,0,0,0,9.393900982104242,0.0,0.02583395689725876,4.758987355445174,14.3,499.796875,False
1774174300.4066517,66,0,0,0,0,8.912676014006138,0.0,0.025073997676372528,4.758987355445174,9.5,499.796875,False
1774174300.6169825,67,0,0,0,0,9.398364112712443,0.0,0.024537090212106705,4.758987355445174,14.3,499.796875,False
1774174300.8272126,68,0,0,0,0,9.278270998038352,0.0,0.026332912966609,4.755351820643942,14.3,499.796875,False
1774174301.0376184,69,0,0,0,0,9.474494028836489,0.0,0.02487003803253174,4.755351820643942,9.5,499.796875,False
1774174301.2478793,70,0,0,0,0,9.353103931061924,0.0,0.022388994693756104,4.755351820643942,14.3,499.796875,False
1774174301.4582784,71,0,0,0,0,9.28482599556446,0.0,0.022314954549074173,4.755351820643942,9.5,499.796875,False
1774174301.6686203,72,0,0,0,0,9.383679018355906,0.0,0.02663000486791134,4.755351820643942,9.5,499.796875,False
1774174301.8790433,73,0,0,0,0,9.443419985473156,0.0,0.02709298860281706,4.754431139652255,19.0,499.796875,False
1774174302.0893173,74,0,0,0,0,9.321438032202423,0.0,0.02542603760957718,4.754431139652255,9.5,499.796875,False
1774174302.299677,75,0,0,0,0,9.266918990761042,0.0,0.022851978428661823,4.754431139652255,9.5,499.796875,False
1774174302.509898,76,0,0,0,0,8.858787012286484,0.0,0.023814965970814228,4.754431139652255,9.5,499.796875,False
1774174302.7201388,77,0,0,0,0,9.302807971835136,0.0,0.02416700590401888,4.754431139652255,14.3,499.796875,False
1774174302.9295769,78,0,0,0,0,8.359526051208377,0.0,0.02244499046355486,4.7548666398521,14.3,499.796875,False
1774174303.1396432,79,0,0,0,0,9.110881946980953,0.0,0.022499938495457172,4.7548666398521,9.5,499.796875,False
1774174303.349411,80,0,0,0,0,8.800953975878656,0.0,0.022463034838438034,4.7548666398521,9.5,499.796875,False
1774174303.5597432,81,0,0,0,0,9.264067048206925,0.0,0.021721934899687767,4.7548666398521,14.3,499.796875,False
1774174303.7699225,82,0,0,0,0,9.235622943378985,0.0,0.022851978428661823,4.7548666398521,9.5,499.796875,False
1774174303.9803276,83,0,0,0,0,9.262567036785185,0.0,0.02542603760957718,4.762696594612161,14.3,499.796875,False
1774174304.1901445,84,0,0,0,0,8.832675986923277,0.0,0.02277805469930172,4.762696594612161,14.3,499.796875,False
1774174304.4000986,85,0,0,0,0,9.04367701150477,0.0,0.023055006749927998,4.762696594612161,9.5,499.796875,False
1774174304.6101565,86,0,0,0,0,9.09008493181318,0.0,0.022555002942681313,4.762696594612161,9.5,499.796875,False
1774174304.8204503,87,0,0,0,0,9.207807015627623,0.0,0.02324103843420744,4.762696594612161,9.5,499.796875,False
1774174305.0309105,88,0,0,0,0,9.347827057354152,0.0,0.023112050257623196,4.759557631523463,19.0,499.796875,False
1774174305.2412088,89,0,0,0,0,9.364030905999243,0.0,0.021573971025645733,4.759557631523463,9.5,499.796875,False
1774174305.4514859,90,0,0,0,0,9.259678074158728,0.0,0.022907042875885963,4.759557631523463,9.5,499.796875,False
1774174305.6618323,91,0,0,0,0,9.35164198745042,0.0,0.023278058506548405,4.759557631523463,9.5,499.796875,False
1774174305.872016,92,0,0,0,0,9.251178009435534,0.0,0.02335198223590851,4.759557631523463,14.3,499.796875,False
1774174306.0823455,93,0,0,0,0,9.318992961198092,0.0,0.02187106292694807,4.754754523264413,14.3,499.796875,False
1774174306.2926571,94,0,0,0,0,9.338271105661988,0.0,0.025574001483619213,4.754754523264413,9.5,499.796875,False
1774174306.503082,95,0,0,0,0,9.38247493468225,0.0,0.026018940843641758,4.754754523264413,14.3,499.796875,False
1774174306.7136252,96,0,0,0,0,9.434383013285697,0.0,0.02514803782105446,4.754754523264413,9.5,499.796875,False
1774174306.9240134,97,0,0,0,0,9.301197016611695,0.0,0.021721934899687767,4.754754523264413,9.5,499.796875,False
1774174307.1337903,98,0,0,0,0,8.805565070360899,0.0,0.021073967218399048,4.75315743619173,19.1,499.796875,False
1774174307.344064,99,0,0,0,0,9.23927000258118,0.0,0.022073974832892418,4.75315743619173,9.5,499.796875,False
1774174307.5544372,100,0,0,0,0,9.299215977080166,0.0,0.02188899088650942,4.75315743619173,9.5,499.796875,False
1774174307.7648182,101,0,0,0,0,9.400085895322263,0.0,0.05977798718959093,4.75315743619173,9.5,499.796875,False
1774174307.975211,102,0,0,0,0,9.370048996061087,0.0,0.02561102155596018,4.75315743619173,9.5,499.8125,False
1774174308.1853964,103,0,0,0,0,9.252641000784934,0.0,0.021795975044369698,4.756672013471044,19.0,499.8125,False
1774174308.3956203,104,0,0,0,0,9.252308052964509,0.0,0.02244499046355486,4.756672013471044,9.5,499.8125,False
1774174308.605922,105,0,0,0,0,9.385956916958094,0.0,0.02322206273674965,4.756672013471044,9.5,499.8125,False
1774174308.8161738,106,0,0,0,0,9.258993086405098,0.0,0.022795982658863068,4.756672013471044,14.3,499.8125,False
1774174309.0264935,107,0,0,0,0,9.308048989623785,0.0,0.02342602238059044,4.756672013471044,9.5,499.8125,False
1774174309.236882,108,0,0,0,0,9.329752996563911,0.0,0.022721942514181137,4.755909361704347,14.3,499.8125,False
1774174309.4472349,109,0,0,0,0,9.279437945224345,0.0,0.02314790617674589,4.755909361704347,9.5,499.8125,False
1774174309.657459,110,0,0,0,0,9.305660030804574,0.0,0.02403708640486002,4.755909361704347,14.3,499.8125,False
1774174309.8677802,111,0,0,0,0,9.274567011743784,0.0,0.022240914404392242,4.755909361704347,9.5,499.8125,False
1774174310.078193,112,0,0,0,0,9.310160065069795,0.0,0.022443942725658417,4.755909361704347,9.5,499.8125,False
1774174310.288504,113,0,0,0,0,9.389400947839022,0.0,0.023499946109950542,4.75450551398782,19.0,499.8125,False
1774174310.498723,114,0,0,0,0,9.300437988713384,0.0,0.022388994693756104,4.75450551398782,9.5,499.8125,False
1774174310.7089777,115,0,0,0,0,9.341271012090147,0.0,0.023462926037609577,4.75450551398782,9.5,499.8125,False
1774174310.9187622,116,0,0,0,0,8.762434939853847,0.0,0.023297034204006195,4.75450551398782,9.5,499.8125,False
1774174311.128941,117,0,0,0,0,9.274492971599102,0.0,0.023240922018885612,4.75450551398782,14.3,499.8125,False
1774174311.3392897,118,0,0,0,0,9.343788959085941,0.0,0.02309295814484358,4.758510070315108,19.0,499.8125,False
1774174311.549716,119,0,0,0,0,9.335103910416365,0.0,0.022388994693756104,4.758510070315108,9.5,499.8125,False
1774174311.7601445,120,0,0,0,0,9.355696965940297,0.0,0.021462910808622837,4.758510070315108,14.3,499.828125,False
1774174311.9704978,121,0,0,0,0,9.270826005376875,0.0,0.02214801497757435,4.758510070315108,9.5,499.828125,False
1774174312.1807256,122,0,0,0,0,9.309345041401684,0.0,0.022112042643129826,4.758510070315108,9.5,499.828125,False
1774174312.3909557,123,0,0,0,0,9.253566968254745,0.0,0.021536950953304768,4.753501118023122,14.3,499.890625,False
1774174312.601236,124,0,0,0,0,9.283141000196338,0.0,0.02170400694012642,4.753501118023122,4.8,499.890625,False
