timestamp,frame_index,motion_regions,yolo_detections,confirmed_tracks,new_confirmations,time_mog2_ms,time_yolo_ms,time_tracker_ms,fps,cpu_percent,ram_mb,yolo_ran
1774183824.089043,0,3,0,0,0,7.731828955002129,317.25489697419107,0.01905602402985096,0.0,0.0,469.546875,True
1774183824.2979722,1,0,0,0,0,7.174919010140002,0.0,0.027740956284105778,0.0,9.6,475.796875,False
1774183824.506456,2,0,0,0,0,7.136677973903716,0.0,0.023093074560165405,0.0,4.8,479.734375,False
1774183824.7150323,3,0,0,0,0,7.151123019866645,0.0,0.02179702278226614,2.8732471939232784,14.4,482.6875,False
1774183824.9236004,4,0,0,0,0,7.212621974758804,0.0,0.022129970602691174,2.8732471939232784,9.6,485.3125,False
1774183825.132143,5,0,0,0,0,7.15125200804323,0.0,0.021981890313327312,2.8732471939232784,9.6,487.9375,False
1774183825.3407352,6,0,0,0,0,7.1703449357301,0.0,0.022314954549074173,2.8732471939232784,9.6,490.5625,False
1774183825.5492907,7,0,0,0,0,7.189122028648853,0.0,0.02177804708480835,2.8732471939232784,4.8,493.1875,False
1774183825.757831,8,0,0,0,0,7.141510955989361,0.0,0.021648011170327663,4.794508365319173,14.4,495.8125,False
1774183825.966377,9,0,0,0,0,7.2127890307456255,0.0,0.022333115339279175,4.794508365319173,9.6,498.4375,False
1774183826.174638,10,0,0,0,0,6.874270038679242,0.0,0.018851947970688343,4.794508365319173,9.6,499.75,False
1774183826.38284,11,0,0,0,0,6.90575095359236,0.0,0.01877802424132824,4.794508365319173,9.6,499.75,False
1774183826.5910556,12,0,0,0,0,6.84495409950614,0.0,0.01914799213409424,4.794508365319173,4.8,499.75,False
1774183826.7993808,13,0,0,0,0,6.8986580008640885,0.0,0.01855508890002966,4.799520677752138,14.4,499.75,False
1774183827.0077193,14,0,0,0,0,6.878750980831683,0.0,0.019110972061753273,4.799520677752138,4.8,499.75,False
1774183827.215967,15,0,0,0,0,6.828917074017227,0.0,0.01777801662683487,4.799520677752138,9.6,499.75,False
1774183827.4242709,16,0,0,0,0,6.854731938801706,0.0,0.018610968254506588,4.799520677752138,4.8,499.75,False
1774183827.632585,17,0,0,0,0,6.857102969661355,0.0,0.019073951989412308,4.799520677752138,9.6,499.75,False
1774183827.8408728,18,0,0,0,0,6.8309910129755735,0.0,0.017907004803419113,4.800417150507693,9.6,499.75,False
1774183828.0491574,19,0,0,0,0,6.87004707287997,0.0,0.018054968677461147,4.800417150507693,9.6,499.75,False
1774183828.2574644,20,0,0,0,0,6.887677009217441,0.0,0.018517952412366867,4.800417150507693,9.6,499.75,False
1774183828.4657555,21,0,0,0,0,6.8742691073566675,0.0,0.01903704833239317,4.800417150507693,9.6,499.75,False
1774183828.6739602,22,0,0,0,0,6.912325043231249,0.0,0.01968501601368189,4.800417150507693,4.8,499.75,False
1774183828.882247,23,0,0,0,0,6.93752896040678,0.0,0.019093044102191925,4.8015437091972775,14.4,499.765625,False
1774183829.0906842,24,0,0,0,0,6.977936020120978,0.0,0.01894391607493162,4.8015437091972775,4.8,499.765625,False
1774183829.2992446,25,0,0,0,0,7.199584972113371,0.0,0.023240922018885612,4.8015437091972775,9.6,499.765625,False
